user,grid,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30
593,214,maybe,maybe,maybe,maybe,maybe,maybe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe
600,214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
602,214,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,maybe,maybe,maybe,maybe,maybe,TRUE,TRUE,TRUE,TRUE,maybe,maybe,maybe
607,214,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe
625,214,FALSE,FALSE,FALSE,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe
626,214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
627,214,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe
628,214,FALSE,FALSE,FALSE,FALSE,maybe,maybe,maybe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,maybe,maybe,maybe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
646,214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
648,214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,maybe,maybe,maybe,maybe,maybe,maybe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
